"text","emotion"
"I feel optimistic about the future","happiness"
"I feel lighthearted today","happiness"
"I feel peaceful and happy and great","happiness"
"I feel excited about life","happiness"
"I feel on cloud nine and it is wonderful","happiness"
"I love spending time with loved ones","happiness"
"Good things keep happening to me","happiness"
"I feel content and cheerful","happiness"
"I feel okay today","neutral"
"My day is normal","neutral"
"Nothing unusual is happening today","neutral"
"I feel indifferent about this","neutral"
"I am neither happy nor sad","neutral"
"My mood is stable","neutral"
"I feel fine","neutral"
"I don’t feel strongly about anything","neutral"
"Today is an average day","neutral"
"I feel generally calm","neutral"

"I feel buried under responsibilities","stress"
"Too many things demand my attention","stress"
"My head hurts from constant pressure","stress"
"I feel stretched too thin","stress"
"Everything feels rushed and tense","stress"
"I can’t catch a mental break","stress"
"My workload is exhausting me","stress"
"I feel squeezed by expectations","stress"
"Stress is affecting my focus","stress"
"I feel mentally overloaded","stress"
"My schedule is overwhelming","stress"
"I feel burnt out lately","stress"
"I’m under nonstop pressure","stress"
"I feel drained by daily demands","stress"
"Stress is weighing heavily on me","stress"

"I keep overthinking simple things","anxiety"
"My thoughts won’t slow down","anxiety"
"I feel uneasy most of the time","anxiety"
"My chest feels tight with worry","anxiety"
"I’m always expecting something bad","anxiety"
"I feel tense without knowing why","anxiety"
"My mind jumps to worst outcomes","anxiety"
"I feel nervous before small events","anxiety"
"I struggle to calm my thoughts","anxiety"
"I feel shaky inside","anxiety"
"I’m constantly worried","anxiety"
"I feel mentally restless","anxiety"
"I fear messing things up","anxiety"
"My worries won’t leave me","anxiety"
"I feel anxious about everyday things","anxiety"

"I feel emotionally low","sadness"
"My heart feels heavy","sadness"
"I don’t feel like smiling","sadness"
"I feel blue today","sadness"
"My emotions feel dull","sadness"
"I feel weighed down emotionally","sadness"
"I don’t feel my usual self","sadness"
"I feel gloomy","sadness"
"My mood feels dark","sadness"
"I feel withdrawn","sadness"
"I’m feeling downhearted","sadness"
"I feel emotionally tired","sadness"
"I’m struggling emotionally","sadness"
"I feel quiet and low","sadness"
"I feel a lingering sadness","sadness"

"I feel annoyed easily","anger"
"I feel irritated by everything","anger"
"My patience is very low","anger"
"I feel upset and tense","anger"
"I feel mad about the situation","anger"
"I’m feeling short-tempered","anger"
"I snap at people unintentionally","anger"
"I feel heated inside","anger"
"I get angry very fast","anger"
"I feel bitter","anger"
"My anger feels uncontrollable","anger"
"I feel agitated","anger"
"I feel hostile","anger"
"I feel provoked easily","anger"
"My frustration turns into anger","anger"

"I feel scared inside","fear"
"My thoughts are filled with fear","fear"
"I feel alarmed","fear"
"I feel threatened mentally","fear"
"I feel fearful about outcomes","fear"
"I’m afraid things will go wrong","fear"
"I feel startled easily","fear"
"My fear stops me from acting","fear"
"I feel uneasy and scared","fear"
"I feel intimidated","fear"
"My fear feels overpowering","fear"
"I feel frightened suddenly","fear"
"I dread what might happen","fear"
"I feel unsafe emotionally","fear"
"My fear holds me back","fear"

"I feel emotionally exhausted","depression"
"I feel very low most days","depression"
"I struggle to feel positive","depression"
"I feel detached from life","depression"
"I lack motivation entirely","depression"
"I feel mentally heavy","depression"
"I feel emotionally numb","depression"
"I feel tired of everything","depression"
"My energy feels drained","depression"
"I feel stuck emotionally","depression"
"I feel empty and worn out","depression"
"I don’t feel hopeful lately","depression"
"My emotions feel suppressed","depression"
"I feel mentally slowed down","depression"
"I feel persistently low","depression"

"I feel socially distant","loneliness"
"I feel alone emotionally","loneliness"
"I feel left out","loneliness"
"I miss having company","loneliness"
"I feel disconnected socially","loneliness"
"I long for conversation","loneliness"
"I feel unseen","loneliness"
"I feel isolated emotionally","loneliness"
"I wish someone would check on me","loneliness"
"I feel separated from others","loneliness"
"I feel distant from friends","loneliness"
"I crave meaningful connection","loneliness"
"I feel alone with my thoughts","loneliness"
"I miss close interactions","loneliness"
"I feel socially empty","loneliness"

"I feel cheerful today","happiness"
"My mood feels bright","happiness"
"I feel positive and hopeful","happiness"
"I feel relaxed and joyful","happiness"
"I’m in a good mood","happiness"
"I feel satisfied with life","happiness"
"I feel uplifted","happiness"
"I feel refreshed mentally","happiness"
"I’m feeling very upbeat","happiness"
"I feel contented","happiness"
"I feel emotionally light","happiness"
"I’m feeling happy inside","happiness"
"I feel calm and pleased","happiness"
"My mood is joyful","happiness"
"I feel mentally refreshed","happiness"

"I feel balanced","neutral"
"My emotions feel steady","neutral"
"I feel normal overall","neutral"
"My mood is unchanged","neutral"
"I feel emotionally neutral","neutral"
"Nothing feels extreme today","neutral"
"My feelings are mild","neutral"
"I feel average","neutral"
"My emotional state is stable","neutral"
"I feel neither excited nor upset","neutral"
"I’m feeling steady","neutral"
"My mood feels flat","neutral"
"I feel neutral about things","neutral"
"My emotions are controlled","neutral"
"I feel calm and normal","neutral"

“I lost my wallet”,"stress"
“I misplaced my keys”,"stress"
“On cloud nine”,"happiness"
"I am on cloud nine","happiness"
"On cloud nine today","happiness"
"Feeling on cloud nine","happiness"

